"","source","confidence","target","mor"
"1","MYC","A","TERT",1
"2","SMAD3","A","JUN",1
"3","SMAD4","A","JUN",1
"4","SP1","A","ALDOA",1
"5","TP53","A","IGF1R",-1
"6","ZBTB16","A","CCNA2",-1
"7","RUNX1","A","IL3",-1
"8","STAT1","A","CDKN1A",1
"9","STAT3","A","CDKN1A",1
"10","RELA","A","ABCB1",1
"11","TP53","A","CDKN1A",1
"12","TP53","A","RB1",-1
"13","E2F1","A","CDKN1A",1
"14","E2F3","A","CDKN1A",1
"15","YY1","A","NR3C1",1
"16","TP53","A","BCL2",-1
"17","STAT4","A","IRF1",1
"18","WT1","A","ODC1",1
"19","IRF3","A","IFNA1",1
"20","HNF1A","A","IGF1",1
"21","STAT5A","A","IGF1",1
"22","ETS1","A","TIMP1",1
"23","ARNT","A","CYP1B1",1
"24","AHR","A","CYP1B1",1
"25","TP53","A","CCNB1",-1
"26","STAT5A","A","CCND1",1
"27","TP53","A","MDM2",1
"28","RBPJ","A","HES1",1
"29","ATF2","A","CCND1",1
"30","JUN","A","CCND1",1
"31","NFATC2","A","IL4",1
"32","HNF4A","A","GUCY2C",1
"33","RARA","A","SFTPB",1
"34","JUN","A","CDKN1A",1
"35","JUN","A","TP53",-1
"36","STAT3","A","PRF1",1
"37","PPARG","A","SERPINE1",-1
"38","SP1","A","FASLG",1
"39","AR","A","KLK3",1
"40","ATF1","A","CFTR",1
"41","SP1","A","GAST",1
"42","GATA4","A","NPPA",1
"43","RARB","A","RARG",-1
"44","RARG","A","RARB",1
"45","JUN","A","CCL5",1
"46","RELA","A","CD40",1
"47","RELA","A","IFNG",1
"48","ESR2","A","RARA",1
"49","ESR1","A","RARA",1
"50","PAX6","A","KRT12",1
"51","PITX1","C","LHB",0.333333333333333
"52","EGR1","A","LHB",1
"53","FOS","A","TP53",1
"54","TP53","A","FOS",-1
"55","SP1","A","FOS",1
"56","SP1","A","EGR1",1
"57","EGR1","C","NR2F1",0.333333333333333
"58","MYC","A","ENO1",1
"59","TP53","A","CCND1",-1
"60","CREB1","A","PCK1",1
"61","RELA","A","NOS2",1
"62","NFKB1","A","NOS2",1
"63","ATF4","A","DDIT3",1
"64","ATF4","A","ATF3",1
"65","ATF3","A","DDIT3",1
"66","SMAD4","A","SERPINE1",1
"67","SMAD3","A","SERPINE1",1
"68","STAT1","A","IRF8",1
"69","TP53","A","S100A2",1
"70","PAX6","C","GCG",0.333333333333333
"71","TP53","A","BAX",1
"72","TP53","A","CCNG1",1
"73","TP53","A","GADD45A",1
"74","STAT4","A","IFNG",1
"75","PPARG","A","LPL",1
"76","NR5A1","A","CYP17A1",1
"77","FOS","B","RUNX1",0.5
"78","FOXO3","A","FASLG",1
"79","USF1","A","FASN",1
"80","ELK1","A","SOD1",1
"81","FLI1","A","GP9",1
"82","FLI1","A","ITGA2B",1
"83","EGR1","A","ELK1",1
"84","ELK1","A","EGR1",1
"85","ELK4","C","EGR1",0.333333333333333
"86","POU1F1","A","PRL",1
"87","CEBPA","A","ALB",1
"88","CREB1","A","CCND1",1
"89","STAT1","A","IFNG",1
"90","JUN","A","IL6",1
"91","HIF1A","A","EPO",1
"92","MYC","A","CDC25A",1
"93","ARNT","A","EPO",1
"94","TP73","A","MDM2",1
"95","TP73","C","TP53",0.333333333333333
"96","TP53","A","TP73",1
"97","TP73","A","CDKN1A",1
"98","E2F4","A","E2F1",-1
"99","SP1","A","CDKN1A",1
"100","ETS2","A","IL5",1
"101","GATA3","A","IL5",1
"102","ETS1","A","IL5",1
"103","SP1","A","TGFB1",1
"104","JUN","A","OXTR",1
"105","REL","A","IL2RA",1
"106","SP1","A","LDLR",1
"107","YY1","A","LDLR",-1
"108","CEBPA","A","PCK1",1
"109","WT1","A","CDKN1A",1
"110","FOS","A","ERCC1",1
"111","YY1","A","CXCR4",-1
"112","MYC","A","CXCR4",1
"113","USF1","A","CXCR4",1
"114","NR5A1","A","LHB",1
"115","ATF2","A","TNF",1
"116","JUN","A","TNF",1
"117","LEF1","A","CCND1",1
"118","CEBPB","A","STAR",1
"119","NR5A1","A","STAR",1
"120","SRF","A","FOS",1
"121","MYC","A","CDKN1A",-1
"122","JUN","A","IL2",1
"123","SOX9","A","MIA",1
"124","IRF1","A","IFNA1",1
"125","IRF1","A","IRF2",1
"126","TP53","A","LITAF",1
"127","TP53","A","BTG2",1
"128","SP3","A","CDKN1A",1
"129","TP53","A","PCNA",1
"130","STAT1","A","IFNB1",-1
"131","ATF2","A","JUN",1
"132","EGR1","A","F3",1
"133","SRF","A","EGR1",1
"134","HNF4A","A","SERPINA1",1
"135","JUN","A","CSF2",1
"136","NFATC2","A","CSF2",1
"137","MEF2A","A","JUN",1
"138","RUNX2","A","MMP13",1
"139","YBX1","A","MMP13",-1
"140","PDX1","A","INS",1
"141","HNF1A","A","HNF4A",1
"142","HNF4A","A","HNF1A",1
"143","HNF1A","A","INS",1
"144","RFX1","A","PCNA",-1
"145","E2F1","A","DHFR",1
"146","WT1","A","THBS1",1
"147","SP1","A","IGFBP4",1
"148","MYC","A","TP53",1
"149","TP53","A","MYC",-1
"150","NFKB1","A","TP53",1
"151","TP53","A","RELA",1
"152","RELA","A","TP53",1
"153","FOXO1","A","IGFBP1",1
"154","STAT5A","A","CSN2",1
"155","SPI1","B","UTRN",0.5
"156","AHR","A","CYP1A1",1
"157","NR5A2","C","CYP7A1",-0.333333333333333
"158","STAT1","A","SOCS3",1
"159","STAT3","A","SOCS3",1
"160","POU2F1","A","IL5",1
"161","YY1","A","IL5",1
"162","RARA","A","PLAU",1
"163","SP1","A","PLAU",1
"164","LEF1","A","MMP7",1
"165","SPI1","A","BTK",1
"166","SP1","A","BTK",1
"167","SP3","A","BTK",1
"168","SP1","A","SP3",1
"169","STAT6","A","IL4",1
"170","EGR1","A","PDGFA",1
"171","JUN","A","ABCB1",-1
"172","RELA","A","CD40LG",1
"173","CEBPA","A","SP1",1
"174","SP1","A","ODC1",1
"175","MYC","A","BRCA1",1
"176","NR5A1","A","CYP19A1",1
"177","ESR1","C","NRIP1",0.333333333333333
"178","MYC","A","ODC1",1
"179","MYC","A","PTMA",1
"180","MYCN","A","NDRG1",-1
"181","MYC","A","NDRG1",-1
"182","TP63","A","CDKN1A",1
"183","SP1","A","CYP11A1",1
"184","MAZ","A","MYC",-1
"185","POU1F1","A","GH1",1
"186","EGR1","C","ATF1",0.333333333333333
"187","ATF1","C","EGR1",0.333333333333333
"188","CREB1","A","EGR1",1
"189","EGR1","C","CREB1",0.333333333333333
"190","EGR1","A","ABCB1",1
"191","WT1","A","ABCB1",1
"192","YY1","A","CETP",1
"193","SREBF1","A","CETP",1
"194","SREBF1","A","SCD5",1
"195","STAT1","A","CD40",1
"196","NR1I2","A","CYP3A4",1
"197","HNF1A","A","CYP7A1",1
"198","STAT1","A","IFNA1",1
"199","WT1","A","BCL2",1
"200","FOS","A","CLU",-1
"201","FOSL1","A","CLU",1
"202","JUNB","A","CLU",1
"203","CREB1","A","TH",1
"204","ESR2","A","OXT",1
"205","SP1","A","ABCB1",1
"206","JUN","A","SPI1",1
"207","HIF1A","A","VEGFA",1
"208","SMAD4","A","CDKN1A",1
"209","ESR1","A","C3",1
"210","EGR1","A","TNF",1
"211","SP1","A","FN1",1
"212","PPARG","A","FABP4",1
"213","STAT5A","A","BCL2L1",1
"214","SP1","A","LEP",1
"215","STAT5A","A","OSM",1
"216","EGR1","A","MMP14",1
"217","PPARG","A","CD36",1
"218","STAT1","A","PTGS2",1
"219","CEBPB","A","IL6",-1
"220","PAX5","A","CD79A",1
"221","ETS1","A","PARP1",1
"222","POU2F1","A","HLA-DRA",-1
"223","ETS1","A","MGAT5",1
"224","STAT1","A","HSP90AA1",-1
"225","HSF1","C","HSP90AA1",0.333333333333333
"226","HSF1","A","HSPA4",1
"227","CEBPB","A","HP",1
"228","HIF1A","A","TFRC",1
"229","MYC","A","HSPA4",1
"230","SP1","A","PSEN1",1
"231","NR0B1","A","NR5A1",-1
"232","NR5A1","A","NR0B1",1
"233","SP1","A","SLC25A5",1
"234","ESR1","A","E2F1",1
"235","SP1","A","E2F1",1
"236","TFAP2A","A","CYP11A1",1
"237","SP1","A","SPI1",1
"238","SP1","A","PLAT",1
"239","SP3","A","PLAT",1
"240","SPI1","A","IL1B",1
"241","PAX5","A","BLK",1
"242","SREBF2","A","LDLR",1
"243","PGR","A","IGFBP1",1
"244","NR5A1","A","CYP11A1",1
"245","CEBPB","A","CXCL8",1
"246","HNF1A","A","UGT1A1",1
"247","NFKB1","A","CCND1",1
"248","RELA","A","CCND1",1
"249","CEBPB","A","IL1B",1
"250","RELA","A","PLAU",1
"251","KLF1","B","HBB",0.5
"252","REL","A","CCL2",1
"253","RELA","A","CCL2",1
"254","TP53","A","MDM4",1
"255","TP73","C","MDM4",0.333333333333333
"256","WT1","A","MYCN",-1
"257","CREB1","A","JUN",-1
"258","SP1","A","HMGA2",1
"259","SP3","A","HMGA2",1
"260","RELA","A","CXCL8",1
"261","PAX3","A","MITF",1
"262","RELA","A","TNF",1
"263","NFKB1","A","TNF",1
"264","NFIC","A","CYP1A1",-1
"265","E2F1","A","RB1",1
"266","SP1","A","LHCGR",1
"267","ESRRA","A","CYP19A1",1
"268","USF1","A","PKLR",1
"269","STAT3","A","JUNB",1
"270","SP1","A","CCND1",1
"271","TFAP2A","B","ESR1",0.5
"272","ESR1","A","TFAP2C",1
"273","TFAP2C","A","ESR1",1
"274","PAX8","A","TG",1
"275","WT1","A","IGF1R",-1
"276","ESR1","A","CCND1",1
"277","SP1","A","ITGAV",1
"278","SP3","A","ITGAV",1
"279","E2F1","A","CCNE1",1
"280","E2F1","A","CCND1",1
"281","YY1","A","TP53",1
"282","IRF1","A","CIITA",1
"283","SP1","A","MMP2",1
"284","SP3","A","MMP2",1
