"","source","confidence","target","mor"
"1","Myc","A","Tert",1
"2","Smad3","A","Jun",1
"3","Smad4","A","Jun",1
"4","Sp1","A","Aldoa",1
"5","Tp53","A","Igf1r",-1
"6","Zbtb16","A","Ccna2",-1
"7","Stat3","A","Cdkn1a",1
"8","Rela","A","Abcb1a",1
"9","Tp53","A","Cdkn1a",1
"10","Tp53","A","Rb1",-1
"11","E2f1","A","Cdkn1a",1
"12","E2f3","A","Cdkn1a",1
"13","Yy1","A","Nr3c1",1
"14","Tp53","A","Bcl2",-1
"15","Stat4","A","Irf1",1
"16","Wt1","A","Odc1",1
"17","Hnf1a","A","Igf1",1
"18","Stat5a","A","Igf1",1
"19","Ets1","A","Timp1",1
"20","Arnt","A","Cyp1b1",1
"21","Ahr","A","Cyp1b1",1
"22","Tp53","A","Ccnb1",-1
"23","Stat5a","A","Ccnd1",1
"24","Tp53","A","Mdm2",1
"25","Rbpj","A","Hes1",1
"26","Atf2","A","Ccnd1",1
"27","Jun","A","Ccnd1",1
"28","Nfatc2","A","Il4",1
"29","Hnf4a","A","Gucy2c",1
"30","Rara","A","Sftpb",1
"31","Jun","A","Cdkn1a",1
"32","Jun","A","Tp53",-1
"33","Stat3","A","Prf1",1
"34","Pparg","A","Serpine1",-1
"35","Sp1","A","Faslg",1
"36","Ar","A","Klk1b11",1
"37","Ar","A","Klk1b8",1
"38","Ar","A","Klk1",1
"39","Ar","A","Klk1b21",1
"40","Ar","A","Klk1b3",1
"41","Ar","A","Klk1b24",1
"42","Ar","A","Klk1b22",1
"43","Ar","A","Klk1b1",1
"44","Ar","A","Klk1b9",1
"45","Ar","A","Klk1b5",1
"46","Ar","A","Klk1b26",1
"47","Ar","A","Klk1b16",1
"48","Ar","A","Klk1b4",1
"49","Ar","A","Klk1b27",1
"50","Atf1","A","Cftr",1
"51","Sp1","A","Gast",1
"52","Gata4","A","Nppa",1
"53","Rarg","A","Rarb",1
"54","Rarb","A","Rarg",-1
"55","Jun","A","Ccl5",1
"56","Rela","A","Cd40",1
"57","Rela","A","Ifng",1
"58","Esr2","A","Rara",1
"59","Esr1","A","Rara",1
"60","Pax6","A","Krt12",1
"61","Fos","A","Tp53",1
"62","Tp53","A","Fos",-1
"63","Sp1","A","Fos",1
"64","Sp1","A","Egr1",1
"65","Egr1","C","Nr2f1",0.333333333333333
"66","Myc","A","Eno1",1
"67","Tp53","A","Ccnd1",-1
"68","Creb1","A","Pck1",1
"69","Rela","A","Nos2",1
"70","Nfkb1","A","Nos2",1
"71","Atf4","A","Ddit3",1
"72","Atf4","A","Atf3",1
"73","Atf3","A","Ddit3",1
"74","Smad4","A","Serpine1",1
"75","Smad3","A","Serpine1",1
"76","Pax6","C","Gcg",0.333333333333333
"77","Tp53","A","Bax",1
"78","Tp53","A","Ccng1",1
"79","Tp53","A","Gadd45a",1
"80","Stat4","A","Ifng",1
"81","Pparg","A","Lpl",1
"82","Nr5a1","A","Cyp17a1",1
"83","Fos","B","Runx1",0.5
"84","Foxo3","A","Faslg",1
"85","Usf1","A","Fasn",1
"86","Elk1","A","Sod1",1
"87","Fli1","A","Gp9",1
"88","Fli1","A","Itga2b",1
"89","Egr1","A","Elk1",1
"90","Elk1","A","Egr1",1
"91","Elk4","C","Egr1",0.333333333333333
"92","Cebpa","A","Alb",1
"93","Creb1","A","Ccnd1",1
"94","Jun","A","Il6",1
"95","Hif1a","A","Epo",1
"96","Myc","A","Cdc25a",1
"97","Arnt","A","Epo",1
"98","Tp73","A","Mdm2",1
"99","Tp53","A","Tp73",1
"100","Tp73","C","Tp53",0.333333333333333
"101","Tp73","A","Cdkn1a",1
"102","E2f4","A","E2f1",-1
"103","Sp1","A","Cdkn1a",1
"104","Ets2","A","Il5",1
"105","Gata3","A","Il5",1
"106","Ets1","A","Il5",1
"107","Sp1","A","Tgfb1",1
"108","Jun","A","Oxtr",1
"109","Rel","A","Il2ra",1
"110","Sp1","A","Ldlr",1
"111","Yy1","A","Ldlr",-1
"112","Cebpa","A","Pck1",1
"113","Wt1","A","Cdkn1a",1
"114","Fos","A","Ercc1",1
"115","Yy1","A","Cxcr4",-1
"116","Myc","A","Cxcr4",1
"117","Usf1","A","Cxcr4",1
"118","Atf2","A","Tnf",1
"119","Jun","A","Tnf",1
"120","Lef1","A","Ccnd1",1
"121","Cebpb","A","Star",1
"122","Nr5a1","A","Star",1
"123","Srf","A","Fos",1
"124","Myc","A","Cdkn1a",-1
"125","Jun","A","Il2",1
"126","Sox9","A","Mia",1
"127","Irf1","A","Irf2",1
"128","Tp53","A","Litaf",1
"129","Tp53","A","Btg2",1
"130","Sp3","A","Cdkn1a",1
"131","Tp53","A","Pcna",1
"132","Atf2","A","Jun",1
"133","Egr1","A","F3",1
"134","Srf","A","Egr1",1
"135","Hnf4a","A","Serpina1b",1
"136","Hnf4a","A","Serpina1a",1
"137","Hnf4a","A","Serpina1e",1
"138","Hnf4a","A","Serpina1d",1
"139","Hnf4a","A","Serpina1c",1
"140","Jun","A","Csf2",1
"141","Nfatc2","A","Csf2",1
"142","Mef2a","A","Jun",1
"143","Runx2","A","Mmp13",1
"144","Ybx1","A","Mmp13",-1
"145","Pdx1","A","Ins2",1
"146","Hnf1a","A","Hnf4a",1
"147","Hnf4a","A","Hnf1a",1
"148","Hnf1a","A","Ins2",1
"149","Rfx1","A","Pcna",-1
"150","E2f1","A","Dhfr",1
"151","Wt1","A","Thbs1",1
"152","Sp1","A","Igfbp4",1
"153","Myc","A","Tp53",1
"154","Tp53","A","Myc",-1
"155","Nfkb1","A","Tp53",1
"156","Tp53","A","Rela",1
"157","Rela","A","Tp53",1
"158","Foxo1","A","Igfbp1",1
"159","Stat5a","A","Csn2",1
"160","Spi1","B","Utrn",0.5
"161","Ahr","A","Cyp1a1",1
"162","Nr5a2","C","Cyp7a1",-0.333333333333333
"163","Stat3","A","Socs3",1
"164","Pou2f1","A","Il5",1
"165","Yy1","A","Il5",1
"166","Rara","A","Plau",1
"167","Sp1","A","Plau",1
"168","Lef1","A","Mmp7",1
"169","Spi1","A","Btk",1
"170","Sp1","A","Btk",1
"171","Sp3","A","Btk",1
"172","Sp1","A","Sp3",1
"173","Stat6","A","Il4",1
"174","Egr1","A","Pdgfa",1
"175","Jun","A","Abcb1a",-1
"176","Rela","A","Cd40lg",1
"177","Cebpa","A","Sp1",1
"178","Sp1","A","Odc1",1
"179","Myc","A","Brca1",1
"180","Nr5a1","A","Cyp19a1",1
"181","Esr1","C","Nrip1",0.333333333333333
"182","Myc","A","Odc1",1
"183","Mycn","A","Ndrg1",-1
"184","Myc","A","Ndrg1",-1
"185","Tp63","A","Cdkn1a",1
"186","Sp1","A","Cyp11a1",1
"187","Egr1","C","Atf1",0.333333333333333
"188","Atf1","C","Egr1",0.333333333333333
"189","Egr1","C","Creb1",0.333333333333333
"190","Creb1","A","Egr1",1
"191","Egr1","A","Abcb1a",1
"192","Wt1","A","Abcb1a",1
"193","Hnf1a","A","Cyp7a1",1
"194","Wt1","A","Bcl2",1
"195","Fos","A","Clu",-1
"196","Fosl1","A","Clu",1
"197","Junb","A","Clu",1
"198","Creb1","A","Th",1
"199","Esr2","A","Oxt",1
"200","Sp1","A","Abcb1a",1
"201","Jun","A","Spi1",1
"202","Hif1a","A","Vegfa",1
"203","Smad4","A","Cdkn1a",1
"204","Esr1","A","C3",1
"205","Egr1","A","Tnf",1
"206","Sp1","A","Fn1",1
"207","Pparg","A","Fabp4",1
"208","Stat5a","A","Bcl2l1",1
"209","Sp1","A","Lep",1
"210","Stat5a","A","Osm",1
"211","Egr1","A","Mmp14",1
"212","Pparg","A","Cd36",1
"213","Cebpb","A","Il6",-1
"214","Pax5","A","Cd79a",1
"215","Ets1","A","Parp1",1
"216","Pou2f1","A","H2-Ea",-1
"217","Pou2f1","A","P04224",-1
"218","Ets1","A","Mgat5",1
"219","Hsf1","C","Hsp90aa1",0.333333333333333
"220","Hsf1","A","Hspa4",1
"221","Cebpb","A","Hp",1
"222","Hif1a","A","Tfrc",1
"223","Myc","A","Hspa4",1
"224","Sp1","A","Psen1",1
"225","Nr5a1","A","Nr0b1",1
"226","Nr0b1","A","Nr5a1",-1
"227","Sp1","A","Slc25a5",1
"228","Esr1","A","E2f1",1
"229","Sp1","A","E2f1",1
"230","Tfap2a","A","Cyp11a1",1
"231","Sp1","A","Spi1",1
"232","Sp1","A","Plat",1
"233","Sp3","A","Plat",1
"234","Spi1","A","Il1b",1
"235","Pax5","A","Blk",1
"236","Srebf2","A","Ldlr",1
"237","Pgr","A","Igfbp1",1
"238","Nr5a1","A","Cyp11a1",1
"239","Hnf1a","A","Ugt1a1",1
"240","Nfkb1","A","Ccnd1",1
"241","Rela","A","Ccnd1",1
"242","Cebpb","A","Il1b",1
"243","Rela","A","Plau",1
"244","Rel","A","Ccl12",1
"245","Rela","A","Ccl12",1
"246","Tp53","A","Mdm4",1
"247","Tp73","C","Mdm4",0.333333333333333
"248","Wt1","A","Mycn",-1
"249","Creb1","A","Jun",-1
"250","Pax3","A","Mitf",1
"251","Rela","A","Tnf",1
"252","Nfkb1","A","Tnf",1
"253","Nfic","A","Cyp1a1",-1
"254","E2f1","A","Rb1",1
"255","Sp1","A","Lhcgr",1
"256","Usf1","A","Pklr",1
"257","Stat3","A","Junb",1
"258","Sp1","A","Ccnd1",1
"259","Tfap2a","B","Esr1",0.5
"260","Esr1","A","Tfap2c",1
"261","Tfap2c","A","Esr1",1
"262","Pax8","A","Tg",1
"263","Wt1","A","Igf1r",-1
"264","Esr1","A","Ccnd1",1
"265","Sp1","A","Itgav",1
"266","Sp3","A","Itgav",1
"267","E2f1","A","Ccne1",1
"268","E2f1","A","Ccnd1",1
"269","Yy1","A","Tp53",1
"270","Irf1","A","Ciita",1
"271","Sp1","A","Mmp2",1
