Gene stable ID,Mouse gene stable ID,Mouse gene name,"Mouse orthology confidence [0 low, 1 high]",Gene name
ENSG00000210049,,,,MT-TF
ENSG00000211459,,,,MT-RNR1
ENSG00000210077,,,,MT-TV
ENSG00000210082,,,,MT-RNR2
ENSG00000209082,,,,MT-TL1
ENSG00000198888,ENSMUSG00000064341,mt-Nd1,1,MT-ND1
ENSG00000210100,,,,MT-TI
ENSG00000210107,,,,MT-TQ
ENSG00000210112,,,,MT-TM
ENSG00000198763,ENSMUSG00000064345,mt-Nd2,1,MT-ND2
ENSG00000210117,,,,MT-TW
ENSG00000210127,,,,MT-TA
ENSG00000210135,,,,MT-TN
ENSG00000210140,,,,MT-TC
ENSG00000210144,,,,MT-TY
ENSG00000198804,ENSMUSG00000064351,mt-Co1,1,MT-CO1
ENSG00000210151,,,,MT-TS1
ENSG00000210154,,,,MT-TD
ENSG00000198712,ENSMUSG00000064354,mt-Co2,1,MT-CO2
ENSG00000210156,,,,MT-TK
ENSG00000228253,ENSMUSG00000064356,mt-Atp8,0,MT-ATP8
ENSG00000198899,ENSMUSG00000064357,mt-Atp6,1,MT-ATP6
ENSG00000198938,ENSMUSG00000064358,mt-Co3,1,MT-CO3
ENSG00000210164,,,,MT-TG
ENSG00000198840,ENSMUSG00000064360,mt-Nd3,1,MT-ND3
ENSG00000210174,,,,MT-TR
ENSG00000212907,ENSMUSG00000065947,mt-Nd4l,1,MT-ND4L
ENSG00000198886,ENSMUSG00000064363,mt-Nd4,1,MT-ND4
ENSG00000210176,,,,MT-TH
ENSG00000210184,,,,MT-TS2
ENSG00000210191,,,,MT-TL2
ENSG00000198786,ENSMUSG00000064367,mt-Nd5,1,MT-ND5
ENSG00000198695,ENSMUSG00000064368,mt-Nd6,1,MT-ND6
ENSG00000210194,,,,MT-TE
ENSG00000198727,ENSMUSG00000064370,mt-Cytb,1,MT-CYB
ENSG00000210195,,,,MT-TT
ENSG00000210196,,,,MT-TP
ENSG00000278457,ENSMUSG00002075966,5S_rRNA,0,5S_rRNA
ENSG00000280538,,,,
ENSG00000278704,,,,
ENSG00000271254,,,,
ENSG00000275151,,,,
ENSG00000278294,ENSMUSG00002075795,5_8S_rRNA,1,5_8S_rRNA
ENSG00000281806,,,,
ENSG00000279969,,,,
